0x00000000: eax=0x0000001b ebx=0x756e6547 ecx=0x6c65746e edx=0x49656e69
0x00000001: eax=0x000706e5 ebx=0x00000800 ecx=0x76da3203 edx=0x0f8bfbff
0x00000002: eax=0x00feff01 ebx=0x000000f0 ecx=0x00000000 edx=0x00000000
0x00000003: eax=0x00000000 ebx=0x00000000 ecx=0x00000000 edx=0x00000000
0x00000004: eax=0x00000121 ebx=0x02c0003f ecx=0x0000003f edx=0x00000000
0x00000005: eax=0x00000000 ebx=0x00000000 ecx=0x00000000 edx=0x00000000
0x00000006: eax=0x00000000 ebx=0x00000000 ecx=0x00000001 edx=0x00000000
0x00000007: eax=0x00000000 ebx=0xf0bf27ab ecx=0x00405f46 edx=0x20000010
0x00000008: eax=0x00000000 ebx=0x00000000 ecx=0x00000000 edx=0x00000000
0x00000009: eax=0x00000000 ebx=0x00000000 ecx=0x00000000 edx=0x00000000
0x0000000a: eax=0x00000000 ebx=0x00000000 ecx=0x00000000 edx=0x00000000
0x0000000b: eax=0x00000000 ebx=0x00000000 ecx=0x00000000 edx=0x00000000
0x0000000c: eax=0x00000000 ebx=0x00000000 ecx=0x00000000 edx=0x00000000
0x0000000d: eax=0x000000e7 ebx=0x00000240 ecx=0x00000a80 edx=0x00000000
0x0000000e: eax=0x00000000 ebx=0x00000000 ecx=0x00000000 edx=0x00000000
0x0000000f: eax=0x00000000 ebx=0x00000000 ecx=0x00000000 edx=0x00000000
0x00000010: eax=0x00000000 ebx=0x00000000 ecx=0x00000000 edx=0x00000000
0x00000011: eax=0x00000000 ebx=0x00000000 ecx=0x00000000 edx=0x00000000
0x00000012: eax=0x00000000 ebx=0x00000000 ecx=0x00000000 edx=0x00000000
0x00000013: eax=0x00000000 ebx=0x00000000 ecx=0x00000000 edx=0x00000000
0x00000014: eax=0x00000000 ebx=0x00000000 ecx=0x00000000 edx=0x00000000
0x00000015: eax=0x00000000 ebx=0x00000000 ecx=0x00000000 edx=0x00000000
0x00000016: eax=0x00000000 ebx=0x00000000 ecx=0x00000000 edx=0x00000000
0x00000017: eax=0x00000000 ebx=0x00000000 ecx=0x00000000 edx=0x00000000
0x00000018: eax=0x00000000 ebx=0x00000000 ecx=0x00000000 edx=0x00000000
0x00000019: eax=0x00000000 ebx=0x00000000 ecx=0x00000000 edx=0x00000000
0x0000001a: eax=0x00000000 ebx=0x00000000 ecx=0x00000000 edx=0x00000000
0x0000001b: eax=0x00000000 ebx=0x00000000 ecx=0x00000000 edx=0x00000000
0x40000000: eax=0x00000000 ebx=0x00000000 ecx=0x00000000 edx=0x00000000
0x80000000: eax=0x80000008 ebx=0x00000000 ecx=0x00000000 edx=0x00000000
0x80000001: eax=0x00000000 ebx=0x00000000 ecx=0x00000121 edx=0x2c100800
0x80000002: eax=0x65746e49 ebx=0x2952286c ecx=0x726f4320 edx=0x4d542865
0x80000003: eax=0x37692029 ebx=0x3630312d ecx=0x20374735 edx=0x20555043
0x80000004: eax=0x2e312040 ebx=0x48473033 ecx=0x0000007a edx=0x00000000
0x80000005: eax=0x00000000 ebx=0x00000000 ecx=0x00000000 edx=0x00000000
0x80000006: eax=0x00000000 ebx=0x00000000 ecx=0x01006040 edx=0x00000000
0x80000007: eax=0x00000000 ebx=0x00000000 ecx=0x00000000 edx=0x00000100
0x80000008: eax=0x00003027 ebx=0x00000000 ecx=0x00000000 edx=0x00000000
